TITULO:,CATµLOGO
CENTRO DE INVESTIGACI‡N Y ESTUDIOS SUPERIORES EN ANTROPOLOG÷A SOCIALˇ(CIESAS),CIESAS
COLEGIO DE LA FRONTERA NORTE,Colegio de la Frontera Norte
COLEGIO MICHOACANO,Colegio Michoacano
INSTITUTO DE INVESTIGACIONES HIST‡RICAS (IIH),Instituto de Investigaciones Hist¢ricas (IIH)
"INSTITUTO DE INVESTIGACIONES DOCTOR JOSê MAR÷A LUIS MORA,",Instituto Mora
UNIVERSIDAD VERACRUZANA,Universidad Veracruzana
