TITULO:
A A BALKEMA PUBLISHERS
"A K PETERS, LTD"
A R G GANTNER VERLAG K G
A. MAISONNEUVE
ABADA EDITORES
ABADIA DE MONTSERRAT
ABELEDO PERROT
ABMS-ASSOC BRASILEIRA MECANICA SOLOS ENGENHARIA GEOTECNICA
ABYA YALA
ACAD BUSINESS DABROWA GORNICZA
ACAD CONFERENCES LTD
ACAD PRESS SAULE
ACADEMIA DE LAS ARTES Y LAS CIENCIAS CINEMATOGRµFICAS DE ESPA•A
ACADEMIA DEL HISPANISMO
ACADEMIA PRESS
ACADEMIA SCIENTIARUM FENNICA
ACADEMIC PRESS
ACADEMIC PRESS
ACADEMIC PRESS (ELSEVIER)
ACADEMIC PRESS INC.
ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD
ACANTILADO
ACCENT
ACONCAGUA LIBROS
"ACTES SUD, UNIVERSITE D'AVIGNON"
ADAM MICKIEWICZ UNIVERSITY PRESS
ADDISON-WESLEY (PEARSON)
ADDISON-WESLEY PUBL CO
ADESIARA EDITORIAL
ADJURIS-SOC OF JURIDICAL & ADMINISTRATIVE SCI
ADRIANA HIDALGO EDITORA
ADVOOK EDITORIAL
AFRICAN MINDS
AFTERALL BOOKS
AGH-UNIV SCI & TECHNOL
"AICA-ARMENIA, INST CONTEMPORARY ART"
AKAD VERLAG / DE GRUYTER
AKADEMIAI KIADO
AKADEMISCHE VERLAGSGESELLSCH AKA GMBH
AKAL (GRUPO AKAL)
"ALAN C. HOOD & COMPANY, INC."
ALBATROS EDICIONES
ALBERTA UNIVERSITY PRESS
ALDINE-TRANSACTION PUBLISHERS
ALFAGUARA
ALFAR
"ALIANZA (GRUPO ANAYA, HACHETTE LIVRE)"
ALLEN LANE
ALLIED PUBLISHERS LTD
ALMEDINA
ALMUZARA
ALPUERTO
AMBIT MEDIA AS
AMBRA VERLAG
AMER ANTHROPOLOGICAL ASSOC
AMER ASSOC CEREAL CHEMISTS INC
AMER ASSOC PHARMACEUTICAL SCIENTISTS
AMER ASTRONAUTICAL SOC
AMER CERAMIC SOC
AMER CHEMICAL SOC
AMER DENTAL ASSOC
AMER EDUCATIONAL RESEARCH ASSOC
AMER FISHERIES SOC
AMER GEOPHYSICAL UNION
AMER INST AERONAUTICS & ASTRONAUTICS
AMER INST CHEMICAL ENGINEERS
AMER INST PHYSICS
AMER MATHEMATICAL SOC
AMER METEOROLOGICAL SOCIETY
AMER ORNITHOLOGISTS UNION
AMER PHILOSOPHICAL SOC
"AMER PSYCHIATRIC PRESS, INC"
"AMER PSYCHIATRIC PUBLISHING, INC"
AMER SOC AGRONOMY
AMER SOC CIVIL ENGINEERS
"AMER SOC HEATING, REFRIGERATING AND AIR-CONDITIONING ENGS"
AMER SOC MECHANICAL ENGINEERS
AMER SOC MICROBIOLOGY
AMER SOC PLANT TAXONOMISTS
AMER UNIV CAIRO PRESS
AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS
AMERICAN CHEMICAL SOCIETY
AMERICAN GEOPHYSICAL UNION
AMERICAN INSTITUTE OF MUSICOLOGY
AMERICAN LIBRARY ASSOCIATION
AMERICAN MATHEMATICAL SOCIETY
AMERICAN MATHEMATICAL SOCIETY
AMERICAN MUSEUM OF NATURAL HISTORY
AMERICAN ORNITHOLOGISTS' UNION
AMERICAN PSYCHOLOGICAL ASSOCIATION (APA)
AMERICAN SOCIETY OF CIVIL ENGINEERS
AMERICAN SOLAR ENERGY SOCIETY
AMORRORTU
AMPERSAND
AMS PRESS
AMSTERDAM UNIV PRESS
AMSTERDAM UNIVERSITY PRESS
ANAGRAMA
"ANALYTIC PRESS, INC"
"ANAYA (GRUPO ANAYA, HACHETTE LIVRE)"
ANAYA MULTIMEDIA
ANAYA MULTIMEDIA (GRUPO ANAYA)
ANDARTA BOOKS
ANDAVIRA EDITORA
ANDERSON PUBL CO
µNFORA NOVA
ANN ARBOR
ANNUAL REVIEWS
ANNUAL REVIEWS INC.
ANTHEM PRESS
ANTHROPOS EDITORIAL
ANTONI BOSCH EDITOR
ANTONIO MACHADO LIBROS
AOSIS
APPLE ACAD PRESS INC
APRESS
ARACNE EDITRICE
ARANZADI (ARANZADI LA LEY / KARNOV GROUP)
ARANZADI SOC SCIENCES
ARC HUMANITIES PRESS
ARC MEDIEVAL PRESS
ARCADIA PUBLISHING
ARCHAEOPRESS
"ARCHEOLOGICKY USTAV AV CR, PRAHA, V V I"
ARCIBEL EDITORES
ARCO LIBROS
ARCO LIBROS ? LA MURALLA
ARDEN SHAKESPEARE
ARIADNA EDICIONES
ARIEL (GRUPO PLANETA)
ARIZONA CENTER FOR MEDIEVAL AND RENAISSANCE STUDIES PRESS (ACMR S)
ARMAND COLIN (HACHETTE LIVRE)
ARSENAL PULP PRESS
ARTECH HOUSE
ARTEFACTUM PUBLISHING HOUSE
ARTIUM
ARTS EXTENSION SERV
ASCD
ASCE
ASCHENDORFFSCHE VERLAGSBUCHHANDLUNG
"ASCLEPION PUBLISHING, LLC"
ASERS PUBLISHING
ASHGATE PUBLISHING (ASHGATE PUBLISHING GROUP)
ASHGATE PUBLISHING LTD
ASIAN DEVELOPMENT BANK
ASM INTERNATIONAL
ASOCIACION ESPANOLA MICOLOGIA
ASOCIACI‡N ESPA•OLA DE CONTABILIDAD Y ADMINISTRACI‡N (AECA)
ASOCIACI‡N ESPA•OLA DE GEOGRAF÷A
ASSER PRESS
ASSOC AUSTRALASIAN PALAEONTOLOGISTS
ASSOC COLL RESEARCH LIBRARIES
ASSOCIATION FOR INFORMATION MANAGEMENT (ASLIB)
ASTM INTERNATIONAL
ASTRONOMICAL SOC PACIFIC
ASUNIVEP
ATELIER
ATELIERS D'ETHNOMUSICOLOGIE
ATENEO DE MANILA UNIV
ATHABASCA UNIV PRESS
ATHENAICA EDICIONES
ATLANTIS PRESS
"AUERBACH PUBLICATIONS, TAYLOR & FRANCIS GROUP"
AUSTRALASIAN INST MINING & METALLURGY
AUSTRALIAN CENTRE INT AGRICULTURAL RESEARCH
AUSTRALIAN GOVT PUBL SERV
AUSTRALIAN HOUSING AND URBAN RESEARCH INSTITUTE (AHURI)
AUSTRALIAN NATL UNIV
AUSTRIAN ACAD SCIENCE PRESS
AUSTRIAN ACADEMY OF SCIENCES
AUSTRIAN SOCIETY OF AGRICULTURAL ECONOMICS
AVI PUB. CO
B DE F
BAAR-VERLAG
"BALTIC MARINE ENVIRONM PROTECTCOMMISS, HELSINKI COMMISSION"
BANCO REPUBLICA-CENTRAL BANK COLOMBIA
BéRENREITER VERLAG
BARKHUIS
BASIC BOOKS
BAYLOR UNIV
BAYWOOD PUBLISHING CO INC
BEGELL HOUSE
BEGELL HOUSE INC.
"BEGELL HOUSE, INC"
BELLATERRA EDICIONS
BELLES-LETTRES
BENTHAM
BENTHAM SCIENCE PUBL
BENTHAM SCIENCE PUBLISHERS
BENTHAM SCIENCE PUBLISHERS B.V.
BERG PUBLISHERS
BERG PUBLISHERS LTD
BERGHAHN BOOKS
BERKELEY UNIVERSITY PRESS
"BERLINER GESELLSCHAFT FUR ANTHROPOLOGIE, ETHNOLOGIE UND URGESCHICHTE"
BESANÄON (FRANCHE-COMTê)
BIBLIOTECA CASTRO
BIBLIOTECA NUEVA
BIBLIOTH‘QUE DE L?êCOLE DES CHARTES
BIELEFELD UNIV PRESS
BIRKBECK LAW PRESS
BIRKHAUSER
BIRKHAUSER BOSTON
BIRKHAUSER BOSTON
BIRKHAUSER VERLAG
BIRKHAUSER VERLAG AG
BIRKHAUSER VERLAG BASEL
BLACK DOME PRESS
BLACKWELL PUBL
BLACKWELL SCIENCE PUBL
BLOOMSBURY
BLOOMSBURY ACADEMIC
BLOOMSBURY EDUCATION
BLOOMSBURY METHUEN DRAMA
BLOOMSBURY PUBL INC
BLOOMSBURY T & T CLARK
BLOOMSBURY VISUAL ARTS
BLOOMSBURY WILDLIFE
BôHLAU VERLAG GMBH AND CIE
BOHN STAFLEU VAN LOGHUM
BOLET÷N OFICIAL DEL ESTADO (BOE)
BOLYAI JANOS MATEMATIKA TARSULAT
BOMARZO
BONILLA ARTIGAS EDITORES
BOSCH (ARANZADI LA LEY / KARNOV GROUP)
BOSQUE UNIV
BOTANIC GARDEN MEISE-JARDIN BOTANIQUE MEISE
BOYDELL AND BREWER LTD
BOYDELL PRESS
BRANDEIS UNIV PRESS
BRAZILIAN JOURNALS PUBLICAÄÂES DE PERI‡DICOS E EDITORA LTDA
BREPOLS PUBLISHERS
BREPOLS PUBLISHERS
BRILL
BRILL
BRILL
BRILL ACADEMIC PUBLISHERS
BRILL NIJHOFF
BRILL RODOPI
BRILL SENSE
BRISTOL UNIV PR
BRISTOL UNIVERSITY PRESS
BRITISH FILM INST
BRITISH PSYCHOLOGICAL SOC
BRITISH PSYCHOLOGICAL SOCIETY
BROOKINGS INST
BROOKINGS INSTITUTION PRESS
BROOKS / COLE PUBL CO
BRUYLANT (LARCIER GROUP)
"BULGARIAN ACAD SCIENCES, INST BALKAN STUDIES & CENTRE THRACOLOGY"
BULLETIN ASIA INST
BULZONI EDITORE
BURKE MUSEUM NATURAL HISTORY & CULTURE
BURLEIGH DODDS SCIENCE PUBLISHING LTD
BUSKE
BUTTERWORTH-HEINEMANN
C E R N
C P GILLETTE MUSEUM ARTHROPOD DIVERSITY
C. H. BECK
C.F. MöLLER
CA PRESS
CABI INTERNATIONAL
CABI PUBLISHING-C A B INT
CACUCCI EDITORE
CAHIERS DU CINêMA
CAISTER ACADEMIC PRESS
CAJA NEGRA EDITORES
CALAMBUR EDITORIAL
CALIFORNIA UNIVERSITY PRESS
CAMBRIDGE INTERNATIONAL SCIENCE PUBLISHING
CAMBRIDGE PHILOLOGICAL SOC
CAMBRIDGE SCHOLARS PUBLISHING LTD
CAMBRIDGE UNIV PRESS
CAMBRIDGE UNIVERSITY PRESS
CAMBRIDGE UNIVERSITY PRESS
CAMEL PUBLISHING HOUSE
CAMPUS VERLAG
CAPITµN SWING
CARL HEYMANNS VERLAG
CARMELITE PUBL HOUSE LTD
CAROCCI
CASA DE VELAZQUEZ
CASA DE VELµZQUEZ
CASA EDITRICE LEO S. OLSCHKI
CASA EDITRICE SCIENTIFICA INTERNAZIONALE
CASTALIA
"CµTEDRA (GRUPO ANAYA, HACHETTE LIVRE)"
CATENA SOIL SCIENCES
CBS-KNAW FUNGAL BIODIVERSITY CENTRE
CEDAM (WOLTERS KLUWER)
CENAA-CENTRE EUROPEAN & NORTH ATLANTIC AFFAIRS
CENDEAC
CENTER BASQUE STUDIES
CENTER PHILOSOPHY SCIENCES UNIV LISBON
CENTER STUDY DEMOCRACY
CENTER TAXATION RESEARCH COLOMBIAN INST TAX LAW
CENTRAL EUROPEAN UNIV PRESS
CENTRE DE RECHERCHE DE L'UNIVERSITE DE PARIS 8
CENTRE FOR ECONOMIC POLICY RESEARCH
CENTRE FOR STUDIES IN SOCIAL SCIENCES
CENTRE INFORMATION STUDIES
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)
CENTRO DE DOCUMENTACI‡N DE ARQUITECTURA LATINOAMERICANA (CEDODAL)
